City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,atafu village,-8.5421,-172.5159,302.11,71,15,9.17,TK,1686871314
84,taoudenni,22.6783,-3.9836,310.24,9,3,5.27,ML,1686871410
85,yuzhno-kurilsk,44.0306,145.8556,286.05,97,100,3.39,RU,1686871330
86,butterworth,5.3991,100.3638,302.07,83,20,1.03,MY,1686871590
87,castillos,-34.1667,-53.8333,283.96,88,89,2.74,UY,1686871351
88,newman,37.3138,-121.0208,306.34,18,83,2.42,US,1686871335
89,quirinopolis,-18.4483,-50.4517,288.05,95,100,2.98,BR,1686871590
90,port mathurin,-19.6833,63.4167,297.91,70,3,7.12,MU,1686871321
91,georgetown,5.4112,100.3354,302.01,83,20,1.03,MY,1686871072
92,muynoq,43.7683,59.0214,294.94,60,99,4.08,UZ,1686871591
93,yamethin,20.4333,96.15,297.32,89,88,3.56,MM,1686871591
94,puerto ayora,-0.7393,-90.3518,299.01,85,37,0.45,EC,1686871313
95,kenora,49.8167,-94.4337,294.69,32,75,3.6,CA,1686871591
96,amarante do maranhao,-5.5667,-46.7422,299.76,53,45,0.63,BR,1686871591
97,utrik,11.2278,169.8474,300.62,81,100,9.32,MH,1686871313
98,ubari,26.5921,12.7805,304.71,15,18,7.64,LY,1686871591
99,hammerfest,70.6634,23.6821,278.4,70,75,2.06,NO,1686871312
100,codrington,-38.2667,141.9667,283.72,69,1,8.16,AU,1686871318
101,ellsworth,44.5434,-68.4195,294.33,88,0,3.09,US,1686871592
102,alofi,-19.0595,-169.9187,298.09,83,100,5.14,NU,1686871410
103,coquimbo,-29.9533,-71.3436,288.0,67,0,2.06,CL,1686871104
104,hirara,24.8,125.2833,300.3,89,75,5.66,JP,1686871592
105,polyarnyy,69.1989,33.4478,278.09,67,72,8.78,RU,1686871385
106,ilulissat,69.2167,-51.1,275.16,87,100,4.12,GL,1686871306
107,hermanus,-34.4187,19.2345,281.93,84,10,3.27,ZA,1686871306
108,san ramon,37.7799,-121.978,303.51,54,0,7.72,US,1686871417
109,tolanaro,-25.0319,46.9987,292.19,82,0,3.09,MG,1686871310
110,yanykurgan,43.915,67.2481,298.81,21,6,2.85,KZ,1686871592
111,uchaly,54.2996,59.4521,284.21,68,94,1.36,RU,1686871593
112,college,64.8569,-147.8028,293.97,28,75,2.57,US,1686871303
113,kapuskasing,49.4169,-82.4331,292.2,55,75,4.63,CA,1686871359
114,dryden,49.7833,-92.7503,293.31,32,0,1.54,CA,1686871124
